id|reportsuiteid|reportsuitename|data|hour|termo|quantidade|createdat
1646||CB - CasasBahia.com.br|09/08/2018|20|geladeira|371|2018-08-14 15:54:07.0000000
1647||CB - CasasBahia.com.br|09/08/2018|20|microondas|262|2018-08-14 15:54:07.0000000
1648||CB - CasasBahia.com.br|09/08/2018|20|sofa|251|2018-08-14 15:54:07.0000000
1649||CB - CasasBahia.com.br|09/08/2018|20|painel para tv|217|2018-08-14 15:54:07.0000000
1650||CB - CasasBahia.com.br|09/08/2018|20|armÃ¡rio de cozinha|246|2018-08-14 15:54:07.0000000
1651||CB - CasasBahia.com.br|09/08/2018|21|celular|895|2018-08-14 15:54:07.0000000
1652||CB - CasasBahia.com.br|09/08/2018|21|guarda roupas de casal|426|2018-08-14 15:54:07.0000000
1653||CB - CasasBahia.com.br|09/08/2018|21|guarda roupa|357|2018-08-14 15:54:07.0000000
1654||CB - CasasBahia.com.br|09/08/2018|21|notebook|369|2018-08-14 15:54:07.0000000
1655||CB - CasasBahia.com.br|09/08/2018|21|iphone|225|2018-08-14 15:54:07.0000000
1656||CB - CasasBahia.com.br|09/08/2018|21|geladeira|281|2018-08-14 15:54:07.0000000
1657||CB - CasasBahia.com.br|09/08/2018|21|microondas|314|2018-08-14 15:54:07.0000000
1658||CB - CasasBahia.com.br|09/08/2018|21|sofa|222|2018-08-14 15:54:07.0000000
1659||CB - CasasBahia.com.br|09/08/2018|21|painel para tv|189|2018-08-14 15:54:07.0000000
1660||CB - CasasBahia.com.br|09/08/2018|21|armÃ¡rio de cozinha|248|2018-08-14 15:54:07.0000000
1661||CB - CasasBahia.com.br|09/08/2018|22|celular|604|2018-08-14 15:54:07.0000000
1662||CB - CasasBahia.com.br|09/08/2018|22|guarda roupas de casal|315|2018-08-14 15:54:07.0000000
1663||CB - CasasBahia.com.br|09/08/2018|22|guarda roupa|317|2018-08-14 15:54:07.0000000
1664||CB - CasasBahia.com.br|09/08/2018|22|notebook|205|2018-08-14 15:54:07.0000000
1665||CB - CasasBahia.com.br|09/08/2018|22|iphone|218|2018-08-14 15:54:07.0000000
1666||CB - CasasBahia.com.br|09/08/2018|22|geladeira|155|2018-08-14 15:54:07.0000000
1667||CB - CasasBahia.com.br|09/08/2018|22|microondas|127|2018-08-14 15:54:07.0000000
1668||CB - CasasBahia.com.br|09/08/2018|22|sofa|170|2018-08-14 15:54:07.0000000
1669||CB - CasasBahia.com.br|09/08/2018|22|painel para tv|212|2018-08-14 15:54:07.0000000
1670||CB - CasasBahia.com.br|09/08/2018|22|armÃ¡rio de cozinha|227|2018-08-14 15:54:07.0000000
1671||CB - CasasBahia.com.br|09/08/2018|23|celular|441|2018-08-14 15:54:07.0000000
1672||CB - CasasBahia.com.br|09/08/2018|23|guarda roupas de casal|262|2018-08-14 15:54:07.0000000
1673||CB - CasasBahia.com.br|09/08/2018|23|guarda roupa|171|2018-08-14 15:54:07.0000000
1674||CB - CasasBahia.com.br|09/08/2018|23|notebook|166|2018-08-14 15:54:07.0000000
1675||CB - CasasBahia.com.br|09/08/2018|23|iphone|237|2018-08-14 15:54:07.0000000
1676||CB - CasasBahia.com.br|09/08/2018|23|geladeira|110|2018-08-14 15:54:07.0000000
1677||CB - CasasBahia.com.br|09/08/2018|23|microondas|84|2018-08-14 15:54:07.0000000
1678||CB - CasasBahia.com.br|09/08/2018|23|sofa|117|2018-08-14 15:54:07.0000000
1679||CB - CasasBahia.com.br|09/08/2018|23|painel para tv|96|2018-08-14 15:54:07.0000000
1680||CB - CasasBahia.com.br|09/08/2018|23|armÃ¡rio de cozinha|203|2018-08-14 15:54:07.0000000
1681||EX - Extra.com.br|09/08/2018|0|iphone|15|2018-08-14 15:54:13.0000000
1682||EX - Extra.com.br|09/08/2018|0|tablet|18|2018-08-14 15:54:13.0000000
